Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
Iron,--,0.625,13,2,36.1,16.7,0.0403,0.0962,0.7517,12.6,0.1942,33.3
Iron,--,0.75,13,2,36.1,16.7,0.0403,0.0962,0.7517,12.6,0.1942,33.3
Iron,--,0.875,0,0,0.0,0.0,0.0403,0.0962,0.7517,12.6,0.1942,33.3
Iron,--,0.99,0,0,0.0,0.0,0.0403,0.0962,0.7517,12.6,0.1942,33.3
Transferrin,--,0.5,38,12,100.0,100.0,0.136,0.2418,0.6058,3.5,0.2085,34.2
Transferrin,--,0.625,38,12,100.0,100.0,0.136,0.2418,0.6058,3.5,0.2085,34.2
Transferrin,--,0.75,27,7,71.1,53.8,0.1253,0.2364,0.6277,2.0,0.2206,34.2
Transferrin,--,0.875,0,0,0.0,0.0,0.101,0.1364,0.5892,-1.4,0.2281,34.2
Transferrin,--,0.99,0,0,0.0,0.0,0.101,0.1364,0.5892,-1.4,0.2281,34.2
Ferritin,M,0.5,21,7,70.0,58.3,0.1231,0.25,0.7083,5.8,0.2262,40.0
Ferritin,M,0.625,16,4,53.3,33.3,0.1231,0.25,0.7083,5.8,0.2262,40.0
Ferritin,M,0.75,14,3,46.7,25.0,0.1231,0.25,0.7083,5.8,0.2262,40.0
Ferritin,M,0.875,6,1,20.0,8.3,0.1231,0.25,0.7083,5.8,0.2262,40.0
Ferritin,M,0.99,6,1,20.0,8.3,0.1231,0.25,0.7083,5.8,0.2262,40.0
Ferritin,F,0.5,6,5,26.1,38.5,0.2641,0.3898,0.3577,-18.7,0.2918,60.9
Ferritin,F,0.625,0,0,0.0,0.0,0.2667,0.5594,0.3214,-21.9,0.2902,60.9
Ferritin,F,0.75,0,0,0.0,0.0,0.2667,0.5594,0.3214,-21.9,0.2902,60.9
Ferritin,F,0.875,0,0,0.0,0.0,0.2667,0.5594,0.3214,-21.9,0.2902,60.9
Ferritin,F,0.99,0,0,0.0,0.0,0.2667,0.5594,0.3214,-21.9,0.2902,60.9
Vitamin_B12,--,0.5,41,5,100.0,100.0,0.1772,0.2462,0.5333,-31.2,0.1405,14.6
Vitamin_B12,--,0.625,28,3,68.3,60.0,0.1772,0.2462,0.5333,-31.2,0.1405,14.6
Vitamin_B12,--,0.75,14,1,34.1,16.7,0.1565,0.1857,0.6357,-16.9,0.146,14.6
Vitamin_B12,--,0.875,3,0,7.3,0.0,0.1565,0.1857,0.6357,-16.9,0.146,14.6
Vitamin_B12,--,0.99,0,0,0.0,0.0,0.1565,0.1857,0.6357,-16.9,0.146,14.6
Folate,--,0.5,24,2,77.4,33.3,0.0352,0.5,0.8233,37.5,0.0975,19.4
Folate,--,0.625,23,1,74.2,16.7,0.0352,0.5,0.8233,37.5,0.0975,19.4
Folate,--,0.75,23,1,74.2,16.7,0.0352,0.5,0.8233,37.5,0.0975,19.4
Folate,--,0.875,23,1,74.2,16.7,0.0352,0.5,0.8233,37.5,0.0975,19.4
