Lab,ALT,AST,Albumin,Alkaline_Phosphatase,Amylase,Baso_abs,Bilirubin_direct,Bilirubin_neonatal,Bilirubin_total,CPK,CRP,Calcium,Calcium_ionized,Carboxyhemoglobin,Chloride,Cholesterol,Creatinine,Deoxyhemoglobin,Eos_abs,Ferritin,Folate,GGT,Globulin,Glucose,HCT,HDL,HGB,Iron,LDH,LDL,Lactate,Lympho_abs,MCV,MPV,Magnesium,Methemoglobin,Mono_abs,NRBC_abs,Neutro_abs,O2_saturation,Osmolality,Oxyhemoglobin,PLT,PT,PTT,Phosphorus,Potassium,Protein_total,RBC,RDW,Reticulo_abs,Sodium,Specific_gravity,TSH,Transferrin,Triglycerides,Troponin_I_HS,Urea,Uric_acid,Vitamin_B12,WBC,pCO2,pH,pO2
Lactate,,,,,,,,0.028966915786601134,,,,,-0.14456496169181332,0.02331531036281378,,,,0.2817826909080606,,,,,,,,,,,,,1.0,,,,,0.20087930131984338,,,,-0.2488131404867579,,-0.274354823320392,,,,,,,,,,,,,,,,,,,,0.12439088793495952,-0.19256106934686176,-0.1647454834347845
Lympho_abs,,,,,,0.10027695065463178,,,,,,,,,,,,,0.04345230595507027,,,,,,0.05141847541914812,,0.033287743486351974,,,,,1.0,-0.008722075158719136,0.00487232770430578,,,0.12290191427471286,0.02395155836641388,0.027282374635260405,,,,0.04297322390086434,,,,,,0.047466662364649755,-0.03040642228683713,0.16635039657381195,,,,,,,,,,0.4599935404481383,,,
MCV,,,,,,-0.07304094147920566,,,,,,,,,,,,,-0.1233843728795371,,,,,,-0.05935147797003049,,-0.010461141979565793,,,,,-0.008722075158719136,1.0,0.08700767412253456,,,-0.08718504886411635,0.08903892537985864,-0.09964955632818796,,,,-0.17553478723555385,,,,,,-0.4202896721358306,-0.15439086681366104,0.154283393706889,,,,,,,,,,-0.09850697227369497,,,
MPV,,,,,,-0.005533237107907578,,,,,,,,,,,,,0.011760113713429722,,,,,,0.0952131819093204,,0.07339250667634335,,,,,0.00487232770430578,0.08700767412253456,1.0,,,0.10735579526528513,0.08672650334537615,0.03693003964276365,,,,-0.42333712495951137,,,,,,0.054290847868247685,-0.01614731692989368,-0.08714947017463567,,,,,,,,,,0.04618546892324286,,,
Magnesium,0.03927672623630173,0.045552188610729655,0.08042121929308653,-0.008826343471383847,0.09296060317789193,,0.07965050180032507,,0.06619370395495713,0.003968499539327365,-0.009476883385687073,0.042580135048827766,,,0.023911887026680928,-0.012561269865998391,0.1780436199117308,,,-0.05178759824869817,-0.1490243241587623,-0.003635725043173214,0.004882804460360013,0.008471513905227563,,0.08062007011351119,,-0.006731760880307553,0.059067247615267306,-0.048183246848224184,,,,,1.0,,,,,,0.20313822977751303,,,,,0.21979383730675384,0.19862783857417815,0.06093843528311367,,,,0.07529331688817739,,0.02578929753231437,0.010575311539847114,0.05643240253890054,0.05778225587346399,0.23902750828671704,0.17992737553720226,0.20596148570202447,,,,
Methemoglobin,,,,,,,,-0.04027298053840908,,,,,-0.05146299664295691,-0.015518599436348729,,,,0.3512420263994005,,,,,,,,,,,,,0.20087930131984338,,,,,1.0,,,,-0.3279303526674633,,-0.3612622005720546,,,,,,,,,,,,,,,,,,,,0.04323878050690477,-0.029288571482121814,-0.13363545328182744
Mono_abs,,,,,,0.1896741765911858,,,,,,,,,,,,,0.13328640258924015,,,,,,0.05017441035170147,,0.0329475218350648,,,,,0.12290191427471286,-0.08718504886411635,0.10735579526528513,,,1.0,0.015489368008739545,0.30927005646133676,,,,0.11920133576963096,,,,,,0.07332616885091624,-0.020004547502330793,-0.036841605419849405,,,,,,,,,,0.42885570650106064,,,
NRBC_abs,,,,,,0.07525947291363523,,,,,,,,,,,,,-0.034663034429605666,,,,,,-0.044359937512813495,,-0.05944608144074864,,,,,0.02395155836641388,0.08903892537985864,0.08672650334537615,,,0.015489368008739545,1.0,0.03942848506034069,,,,-0.05553795503482589,,,,,,-0.06830008233847308,0.0647092103313961,0.0623399863946381,,,,,,,,,,0.045397383848330336,,,
Neutro_abs,,,,,,0.2483187023951165,,,,,,,,,,,,,0.03132649067067425,,,,,,0.03207119954524747,,-0.00109265885302713,,,,,0.027282374635260405,-0.09964955632818796,0.03693003964276365,,,0.30927005646133676,0.03942848506034069,1.0,,,,0.24263797885197647,,,,,,0.06271495002628076,0.036208621089582574,0.04987856587846391,,,,,,,,,,0.8888936155895927,,,
O2_saturation,,,,,,,,0.002051299768476252,,,,,-0.05270517095077996,-0.12642281005195508,,,,-0.9998529860648229,,,,,,,,,,,,,-0.2488131404867579,,,,,-0.3279303526674633,,,,1.0,,0.9995887275097004,,,,,,,,,,,,,,,,,,,,-0.13315086976424473,0.22827118365980203,0.7822225512075278
