Lab,Threshold,Total,Saved,FN,Saved%,FN_per_total%,FN_among_cancelled%,MAE,SMAPE_med%,ROC_AUC
Vitamin_B12,0.9,45,0,0,0.0,0.0,0.0,208.7475,20.6,0.4831
WBC,0.9,1306,0,0,0.0,0.0,0.0,2.5695,18.8,0.6353
pCO2,0.9,931,2,2,0.2,0.21,100.0,6.5332,10.9,0.5291
pH,0.9,1010,0,0,0.0,0.0,0.0,0.0861,0.5,0.5939
pO2,0.9,930,0,0,0.0,0.0,0.0,15.6454,26.6,0.5997
ALT,0.95,4922,6,4,0.1,0.08,66.67,15.165,34.1,0.5848
AST,0.95,4974,0,0,0.0,0.0,0.0,24.9359,30.2,0.5463
Albumin,0.95,4915,187,14,3.8,0.28,7.49,0.2173,5.5,0.7257
Alkaline_Phosphatase,0.95,4972,1,0,0.0,0.0,0.0,17.0173,9.9,0.647
Amylase,0.95,435,0,0,0.0,0.0,0.0,36.9079,22.2,0.6707
Baso_abs,0.95,1286,46,3,3.6,0.23,6.52,0.0212,38.1,0.717
Bilirubin_direct,0.95,730,0,0,0.0,0.0,0.0,0.318,31.1,0.5718
Bilirubin_neonatal,0.95,447,447,0,100.0,0.0,0.0,0.0638,0.9,
Bilirubin_total,0.95,4914,5,1,0.1,0.02,20.0,0.1955,19.1,0.6321
CPK,0.95,2052,3,1,0.1,0.05,33.33,144.3394,53.1,0.5777
CRP,0.95,4898,0,0,0.0,0.0,0.0,28.8424,43.3,0.669
Calcium,0.95,4919,4,0,0.1,0.0,0.0,0.3414,3.2,0.6618
Calcium_ionized,0.95,471,5,2,1.1,0.42,40.0,0.0406,2.6,0.687
Carboxyhemoglobin,0.95,475,0,0,0.0,0.0,0.0,0.3515,40.1,0.5303
Chloride,0.95,4977,3,1,0.1,0.02,33.33,2.351,1.7,0.6784
Cholesterol,0.95,160,5,0,3.1,0.0,0.0,14.1307,8.8,0.7635
Creatinine,0.95,4989,0,0,0.0,0.0,0.0,0.2358,10.7,0.7198
Deoxyhemoglobin,0.95,471,0,0,0.0,0.0,0.0,14.5339,47.0,0.5696
Eos_abs,0.95,1312,19,2,1.4,0.15,10.53,0.0943,51.5,0.6012
Ferritin,0.95,53,0,0,0.0,0.0,0.0,557.8199,95.2,0.619
Folate,0.95,45,2,0,4.4,0.0,0.0,3.9521,31.8,0.6744
GGT,0.95,2606,0,0,0.0,0.0,0.0,31.3295,20.1,0.6186
Globulin,0.95,4923,10,3,0.2,0.06,30.0,0.2328,6.7,0.6386
