feature_code,token_type,source_table,cutoff_rule,transformation,missing_value_policy,value_column,time_column,observed_rows
Bilirubin_direct__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_direct__std_24h,t__Bilirubin_direct__std_24h,18
Bilirubin_direct__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_direct__std_72h,t__Bilirubin_direct__std_72h,1714
Bilirubin_neonatal__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Bilirubin_neonatal__delta,t__Bilirubin_neonatal__delta,1345
Bilirubin_neonatal__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Bilirubin_neonatal__first_admission,t__Bilirubin_neonatal__first_admission,2241
Bilirubin_neonatal__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_neonatal__max_24h,t__Bilirubin_neonatal__max_24h,1125
Bilirubin_neonatal__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_neonatal__max_72h,t__Bilirubin_neonatal__max_72h,1790
Bilirubin_neonatal__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_neonatal__mean_24h,t__Bilirubin_neonatal__mean_24h,1125
Bilirubin_neonatal__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_neonatal__mean_72h,t__Bilirubin_neonatal__mean_72h,1790
Bilirubin_neonatal__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_neonatal__min_24h,t__Bilirubin_neonatal__min_24h,1125
Bilirubin_neonatal__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_neonatal__min_72h,t__Bilirubin_neonatal__min_72h,1790
Bilirubin_neonatal__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Bilirubin_neonatal__prev1,t__Bilirubin_neonatal__prev1,2241
Bilirubin_neonatal__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Bilirubin_neonatal__prev2,t__Bilirubin_neonatal__prev2,1345
Bilirubin_neonatal__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Bilirubin_neonatal__prev3,t__Bilirubin_neonatal__prev3,896
Bilirubin_neonatal__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Bilirubin_neonatal__prior_count,t__Bilirubin_neonatal__prior_count,2241
Bilirubin_neonatal__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Bilirubin_neonatal__slope_per_day,t__Bilirubin_neonatal__slope_per_day,1345
Bilirubin_neonatal__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_neonatal__std_24h,t__Bilirubin_neonatal__std_24h,3
Bilirubin_neonatal__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_neonatal__std_72h,t__Bilirubin_neonatal__std_72h,651
Bilirubin_total__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Bilirubin_total__delta,t__Bilirubin_total__delta,14362
Bilirubin_total__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Bilirubin_total__first_admission,t__Bilirubin_total__first_admission,24582
Bilirubin_total__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_total__max_24h,t__Bilirubin_total__max_24h,17258
Bilirubin_total__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_total__max_72h,t__Bilirubin_total__max_72h,22620
Bilirubin_total__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_total__mean_24h,t__Bilirubin_total__mean_24h,17258
Bilirubin_total__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_total__mean_72h,t__Bilirubin_total__mean_72h,22620
Bilirubin_total__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_total__min_24h,t__Bilirubin_total__min_24h,17258
Bilirubin_total__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_total__min_72h,t__Bilirubin_total__min_72h,22620
Bilirubin_total__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Bilirubin_total__prev1,t__Bilirubin_total__prev1,24582
