Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
HCT,--,0.625,1292,352,98.1,94.88,0.0329,0.34,0.5942,3.0,0.1963,28.2
HCT,--,0.75,881,207,66.89,55.8,0.0329,0.34,0.5942,3.0,0.1963,28.2
HCT,--,0.85,58,14,4.4,3.77,0.0329,0.34,0.5942,3.0,0.1963,28.2
HCT,--,0.875,58,14,4.4,3.77,0.0329,0.34,0.5942,3.0,0.1963,28.2
HCT,--,0.99,0,0,0.0,0.0,0.0329,0.34,0.5942,3.0,0.1963,28.2
HDL,--,0.5,56,9,96.55,81.82,0.0542,0.4484,0.5435,10.7,0.1372,19.0
HDL,--,0.625,56,9,96.55,81.82,0.0542,0.4484,0.5435,10.7,0.1372,19.0
HDL,--,0.75,56,9,96.55,81.82,0.0542,0.4484,0.5435,10.7,0.1372,19.0
HDL,--,0.85,7,1,12.07,9.09,0.0542,0.4484,0.5435,10.7,0.1372,19.0
HDL,--,0.875,7,1,12.07,9.09,0.0542,0.4484,0.5435,10.7,0.1372,19.0
HDL,--,0.99,7,1,12.07,9.09,0.0542,0.4484,0.5435,10.7,0.1372,19.0
HGB,--,0.5,1284,344,97.57,94.25,0.0382,0.9938,0.5977,3.5,0.1935,27.7
HGB,--,0.625,1284,344,97.57,94.25,0.0382,0.9938,0.5977,3.5,0.1935,27.7
HGB,--,0.75,902,202,68.54,55.34,0.0382,0.9938,0.5977,3.5,0.1935,27.7
HGB,--,0.85,2,1,0.15,0.27,0.0382,0.9938,0.5977,3.5,0.1935,27.7
HGB,--,0.875,2,1,0.15,0.27,0.0382,0.9938,0.5977,3.5,0.1935,27.7
HGB,--,0.99,1,1,0.08,0.27,0.0382,0.9938,0.5977,3.5,0.1935,27.7
Iron,--,0.5,35,12,100.0,100.0,0.1045,0.2,0.5634,-3.9,0.234,34.3
Iron,--,0.625,31,10,88.57,83.33,0.1045,0.2,0.5634,-3.9,0.234,34.3
Iron,--,0.75,25,8,71.43,66.67,0.1045,0.2,0.5634,-3.9,0.234,34.3
Iron,--,0.85,5,1,14.29,8.33,0.1045,0.2,0.5634,-3.9,0.234,34.3
Iron,--,0.875,5,1,14.29,8.33,0.1045,0.2,0.5634,-3.9,0.234,34.3
Iron,--,0.99,5,1,14.29,8.33,0.1045,0.2,0.5634,-3.9,0.234,34.3
LDH,--,0.5,2640,1240,53.77,43.99,0.0076,0.0197,0.6528,8.5,0.2238,57.4
LDH,--,0.625,0,0,0.0,0.0,0.0076,0.0197,0.6528,8.5,0.2238,57.4
LDH,--,0.75,0,0,0.0,0.0,0.0076,0.0197,0.6528,8.5,0.2238,57.4
LDH,--,0.85,0,0,0.0,0.0,0.0076,0.0197,0.6528,8.5,0.2238,57.4
LDH,--,0.875,0,0,0.0,0.0,0.0076,0.0197,0.6528,8.5,0.2238,57.4
LDH,--,0.99,0,0,0.0,0.0,0.0076,0.0197,0.6528,8.5,0.2238,57.4
LDL,--,0.5,39,8,69.64,57.14,0.1095,0.3325,0.5034,-7.3,0.2011,25.0
